sample_id,sample_name,latitude,longitude,loc_prec,qgis_geom,datum,depth,material,rock_name,protolith,sample_description,density,comments,qap_name,sia_scheme,frost_class1,frost_class2,frost_class3,quartz,feldspar,lithics,facies,texture,p_velocity,density_model,heat_production,heat_production_mass,ref_id,iso_id,comp_id,major_id,trace_id,rgroup_id,age_id,method_id,country_id,age_min,age,age_max,age_sd,time_period_min,time_period,time_period_max,age_method,mg_number,fe_number,mali,asi,maficity,cia,wip,spar,qtzindex,r1,r2,rock_type,rb87_sr86,rb87_sr87,sr87_sr86,nd143_nd144,sm147_nd144,lu176_hf177,hf176_hf177,re187_os186,re187_os188,os187_os188,pb206_pb204,pb207_pb204,pb208_pb204,th232_pb204,th232_u238,u238_pb204,epsilon_hf,epsilon_nd,epsilon_sr,sio2,tio2,al2o3,cr2o3,fe2o3,fe2o3_tot,feo,feo_tot,mgo,cao,mno,nio,k2o,na2o,sro,p2o5,h2o_plus,h2o_minus,h2o_tot,co2,so3,bao,caco3,mgco3,loi,f_ppm,cl_ppm,br_ppm,i_ppm,h_ppm,c_ppm,n_ppm,p_ppm,s_ppm,al_ppm,as_ppm,ag_ppm,au_ppm,b_ppm,ba_ppm,be_ppm,bi_ppm,ca_ppm,cd_ppm,ce_ppm,co_ppm,cr_ppm,cs_ppm,cu_ppm,dy_ppm,er_ppm,eu_ppm,fe_ppm,ga_ppm,gd_ppm,ge_ppm,hf_ppm,hg_ppm,ho_ppm,in_ppm,ir_ppm,k_ppm,la_ppm,li_ppm,lu_ppm,mg_ppm,mn_ppm,mo_ppm,na_ppm,nd_ppm,ni_ppm,nb_ppm,os_ppm,pa_ppm,pb_ppm,pd_ppm,pm_ppm,pr_ppm,pt_ppm,rb_ppm,re_ppm,rh_ppm,ru_ppm,sb_ppm,sc_ppm,se_ppm,si_ppm,sm_ppm,sn_ppm,sr_ppm,ta_ppm,tb_ppm,te_ppm,th_ppm,ti_ppm,tl_ppm,tm_ppm,w_ppm,v_ppm,u_ppm,y_ppm,yb_ppm,zn_ppm,zr_ppm,rock_group,rock_origin,rock_facies,country,method,author,title,journal,year,doi,bibtex,data_source
89,2nd,35.56666667,139.9166667,,0101000020e6100000a23a6755557d61400db18f8888c84140,wgs84,0.02,,silt,,,,,,,,,,,,,,,,,,,15988,81475,666061,661994,771361,88,43320,4187,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sedimentary,clastic,,jp,inaa,"honda, t.; kimura, k.","distribution and behavior of major and trace elements in tokyo bay, mutsu bay and funka bay marine sediments.",bull. soc. sea water sci. jpn.,2003,,,dodai
122,3rd,35.56666667,139.9166667,,0101000020e6100000a23a6755557d61400db18f8888c84140,wgs84,0.04,,silt,,,,,,,,,,,,,,,,,,,15988,81475,666061,661994,771361,88,43320,4187,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sedimentary,clastic,,jp,inaa,"honda, t.; kimura, k.","distribution and behavior of major and trace elements in tokyo bay, mutsu bay and funka bay marine sediments.",bull. soc. sea water sci. jpn.,2003,,,dodai
132,4th,35.56666667,139.9166667,,0101000020e6100000a23a6755557d61400db18f8888c84140,wgs84,0.06,,silt,,,,,,,,,,,,,,,,,,,15988,81475,666061,661994,771361,88,43320,4187,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sedimentary,clastic,,jp,inaa,"honda, t.; kimura, k.","distribution and behavior of major and trace elements in tokyo bay, mutsu bay and funka bay marine sediments.",bull. soc. sea water sci. jpn.,2003,,,dodai
142,5th,35.56666667,139.9166667,,0101000020e6100000a23a6755557d61400db18f8888c84140,wgs84,0.08,,silt,,,,,,,,,,,,,,,,,,,15988,81475,666061,661994,771361,88,43320,4187,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sedimentary,clastic,,jp,inaa,"honda, t.; kimura, k.","distribution and behavior of major and trace elements in tokyo bay, mutsu bay and funka bay marine sediments.",bull. soc. sea water sci. jpn.,2003,,,dodai
280,10th,35.56666667,139.9166667,,0101000020e6100000a23a6755557d61400db18f8888c84140,wgs84,0.18,,silt,,,,,,,,,,,,,,,,,,,15988,81475,666061,661994,771361,88,43320,4187,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sedimentary,clastic,,jp,inaa,"honda, t.; kimura, k.","distribution and behavior of major and trace elements in tokyo bay, mutsu bay and funka bay marine sediments.",bull. soc. sea water sci. jpn.,2003,,,dodai
515,15th,35.56666667,139.9166667,,0101000020e6100000a23a6755557d61400db18f8888c84140,wgs84,0.28,,silt,,,,,,,,,,,,,,,,,,,15988,81475,666061,661994,771361,88,43320,4187,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sedimentary,clastic,,jp,inaa,"honda, t.; kimura, k.","distribution and behavior of major and trace elements in tokyo bay, mutsu bay and funka bay marine sediments.",bull. soc. sea water sci. jpn.,2003,,,dodai
581,20th,35.56666667,139.9166667,,0101000020e6100000a23a6755557d61400db18f8888c84140,wgs84,0.38,,silt,,,,,,,,,,,,,,,,,,,15988,81475,666061,661994,771361,88,43320,4187,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sedimentary,clastic,,jp,inaa,"honda, t.; kimura, k.","distribution and behavior of major and trace elements in tokyo bay, mutsu bay and funka bay marine sediments.",bull. soc. sea water sci. jpn.,2003,,,dodai
666,25th,35.56666667,139.9166667,,0101000020e6100000a23a6755557d61400db18f8888c84140,wgs84,0.48,,silt,,,,,,,,,,,,,,,,,,,15988,81475,666061,661994,771361,88,43320,4187,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sedimentary,clastic,,jp,inaa,"honda, t.; kimura, k.","distribution and behavior of major and trace elements in tokyo bay, mutsu bay and funka bay marine sediments.",bull. soc. sea water sci. jpn.,2003,,,dodai
721,100904-01,42.614,143.051,,0101000020e61000001283c0caa1e161403bdf4f8d974e4540,wgs84,,,sediment (nakanogawa group),,,,,,,,,,79.97144641,12.74986353,7.278690054,,,6.312813859,2739.627021,1.080174254,0.000394278,16365,14993,397584,490587,545303,88,38088,5379,102,,37,,,,,,sample location age,0.575513605,0.607347959,4.45,1.535370253,0.163330081,60.55802899,60.72781079,-0.082035462,0.210317909,2.575060523,0.555856787,shale,0.5875,,0.705711,0.512627,0.1191,,,,,,,,,,,,,,,66.55,0.72,14.35,,1.09,,4.17,,3.33,1.02,0.07,,2.04,3.43,,0.15,,,,,,,,,,,,,,,,,,,,,,,,574.9,,,,,36.29,,255.5,2.43,,23.09,1.88,1.02,,15.28,3.45,,4.08,,0.63,,,,19.86,21.65,0.28,,,,,18.73,103.5,7.19,,,10.7,,,4.79,,56.64,,,,,16.95,,,3.69,,284.38,,0.51,,6.48,,,0.29,,144.03,1.78,19.23,1.82,,162.66,sedimentary,clastic,,jp,xrf; icp-ms,"kojima, m.; shimura, t.","origin of the i- and s-type tonalite magma in the satsunai-gawa shichino-sawa river region of the hidaka metamorphic belt, hokkaido, northern japan: inferences from sr and nd isotopic compositions.",jour. geol. soc. japan,2014,,,dodai
722,100904-02,42.614,143.051,,0101000020e61000001283c0caa1e161403bdf4f8d974e4540,wgs84,,,sediment (nakanogawa group),,,,,,,,,,76.60911435,14.99873708,8.392148564,,,6.401341981,2738.97841,1.689837801,0.000616959,16365,17061,374280,440315,578694,88,38088,5379,102,,37,,,,,,sample location age,0.560637664,0.621709512,4.22,1.476315678,0.157469669,59.61742645,68.7911055,-0.03804027,0.172443084,2.199250923,0.706147492,shale,1.0381,,0.706027,0.512567,0.1291,,,,,,,,,,,,,,,62.14,0.77,17.03,,1.25,,3.97,,3.1,2.04,0.08,,3.67,2.59,,0.17,,,,,,,,,,,,,,,,,,,,,,,,740.3,,,,,50.56,,105.2,5.6,,4.34,2.62,1.03,,19.57,4.78,,4.67,,0.89,,,,24.86,25.16,0.39,,,,,26.34,58.5,11.73,,,11.92,,,6.6,,113.32,,,,,18.39,,,5.62,,319.36,,0.74,,10.55,,,0.42,,139.15,2.53,25.46,2.62,,172.79,sedimentary,clastic,,jp,xrf; icp-ms,"kojima, m.; shimura, t.","origin of the i- and s-type tonalite magma in the satsunai-gawa shichino-sawa river region of the hidaka metamorphic belt, hokkaido, northern japan: inferences from sr and nd isotopic compositions.",jour. geol. soc. japan,2014,,,dodai
