SAMPLE ID,SOURCE,DOI,TITLE,JOURNAL,AUTHOR,LATITUDE,LONGITUDE
17461,GEOROC,10.1016/0377-0273(88)90017-0,"BUCHITIC METAGREYWACKE XENOLITHS FROM MOUNT NGAURUHOE, TAUPO VOLCANIC ZONE, NEW ZEALAND",J. VOLCANOL. GEOTHERM. RES.,"GRAHAM, I. J.; GRAPES, R. H.; KIFLE, K.",-39.13,175.642
CC20/WR,GEOROC,10.1016/0012-821X(80)90257-5,"ISOTOPIC MEASUREMENT OF SR- AND O-EXCHANGE BETWEEN METEORIC-HYDROTHERMAL FLUID AND THE COIRE UAIGNEICH GRANOPHYRE, ISLE OF SKYE, N.W. SCOTLAND",EARTH PLANET. SCI. LETT.,"DICKIN, A. P.; EXLEY, R. A.; SMITH, B. M.",57.0,-5.7
113202,GEOROC,,"SR ISOTOPE CHEMISTRY OF CONTAMINATED TERTIARY VOLCANIC ROCKS FROM DISKO, CENTRAL WEST GREENLAND",BULL. GEOL. SOC. DENMARK,"PEDERSEN, A. K.; PEDERSEN, S.",70.2258,-53.5517
13342,GEOROC,10.1016/S0377-0273(00)00278-X,"SULFUR AND CHLORINE DEGASSING FROM PRIMITIVE ARC MAGMAS: TEMPORAL CHANGES DURING THE 1982-1983 ERUPTIONS OF GALUNGGUNG (WEST JAVA, INDONESIA)",J. VOLCANOL. GEOTHERM. RES.,"DE HOOG, J. C. M.; KOETSIER, G. W.; BRONTO, S.; SRIWANA, T.; VAN BERGEN, M. J.",-7.25,108.066
P.22768,GEOROC,10.1016/0016-7037(68)90009-4,"PETROGENESIS OF THE VOLCANIC ROCKS OF THE CENTRAL NORTH ISLAND, NEW ZEALAND, AS INDICATED BY A STUDY OF SR87/SR86 RATIOS, SR, RB, K, U AND TH ABUNDANCES",GEOCHIM. COSMOCHIM. ACTA,"EWART, A.; STIPP, J. J.",-37.0,175.5
P.26184,GEOROC,10.1016/0016-7037(68)90009-4,"PETROGENESIS OF THE VOLCANIC ROCKS OF THE CENTRAL NORTH ISLAND, NEW ZEALAND, AS INDICATED BY A STUDY OF SR87/SR86 RATIOS, SR, RB, K, U AND TH ABUNDANCES",GEOCHIM. COSMOCHIM. ACTA,"EWART, A.; STIPP, J. J.",-37.9,175.53
"183-1137A-33R-2,107-110",GEOROC,10.1093/petrology/43.7.1241,"INDIAN CONTINENTAL CRUST RECOVERED FROM ELAN BANK, KERGUELEN PLATEAU (ODP LEG 183, SITE 1137)",J. PETROL.,"INGLE, S. P.; WEIS, D.; FREY, F. A.",-56.8333,68.0933
OKU33B,GEOROC,,"THE GEOCHEMICAL EVOLUTION OF THE ALKALINE AND CARBONATITE COMPLEXES OF THE DAMARALAND IGNEOUS PROVINCE, SOUTH WEST AFRICA",ANN. UNIV. STELLENBOSCH SER. A1 (GEOL.),"PRINS, P.",-20.09,16.8
"430A-4-1,68-70",GEOROC,10.2973/dsdp.proc.55.123.1980,"LEG 55, EMPEROR SEAMOUNTS: TRACE ELEMENTS IN TRANSITIONAL THOLEIITES, ALKALI BASALTS AND HAWAIITES - MANTLE HOMOGENEITY OR HETEROGENEITY AND MAGMATIC PROCESSES",INIT. REP. DEEP SEA DRILL. PROJ.,"CAMBON, P.; JORON, J.-L.; BOUGAULT, H.; TREUIL, M.",37.9882,-170.5977
K207-R18(DP)-8,GEOROC,10.1016/S0012-821X(03)00631-9,ULTRA-HIGH CHLORINE IN SUBMARINE KILAUEA GLASSES: EVIDENCE FOR DIRECT ASSIMILATION OF BRINE BY MAGMA,EARTH PLANET. SCI. LETT.,"COOMBS, M. L.; SISSON, T. W.; KIMURA, J.-I.",19.0313,-155.1998
