SAMPLE ID,ROCK NAME,SIO2,TIO2,AL2O3,MNO,MGO,CAO,NA2O,K2O,P2O5,class
17461,GREYWACKE,74.37,0.43,12.97,0.06,1.14,2.27,3.27,2.1,0.1,coarse clastic
CC20/WR,SANDSTONE,62.45,0.96,16.69,0.1,2.44,1.16,2.48,4.27,0.19,coarse clastic
13342,SAND,49.39,0.74,16.03,0.16,10.59,10.78,2.4,0.34,0.11,coarse clastic
GA1,SAND,51.65,0.75,19.46,0.18,5.88,10.62,2.75,0.47,0.09,coarse clastic
GA6,SAND,48.47,0.72,15.14,0.22,11.64,11.31,2.14,0.37,0.07,coarse clastic
GA11,SAND,46.63,0.73,14.75,0.23,14.01,10.72,1.92,0.33,0.06,coarse clastic
GA26,SAND,48.08,0.85,15.78,0.22,10.27,12.02,2.08,0.36,0.07,coarse clastic
GA19,SAND,48.51,0.84,15.88,0.21,10.76,11.08,2.27,0.39,0.09,coarse clastic
GA24,SAND,47.83,0.82,15.89,0.22,10.78,11.66,2.21,0.37,0.08,coarse clastic
P.22768,GREYWACKE,54.7,0.8,15.4,0.3,1.75,9.2,3.45,1.95,0.17,coarse clastic
P.26184,GREYWACKE,64.7,0.78,15.5,0.11,1.97,2.35,3.95,2.05,0.17,coarse clastic
"183-1137A-33R-2,107-110",SANDSTONE,72.19,0.75,12.72,0.04,0.43,1.02,1.93,7.37,0.13,coarse clastic
"183-1137A-33R-3,46-49",SANDSTONE,65.58,1.0,14.79,0.05,0.86,0.72,2.34,7.47,0.16,coarse clastic
"183-1137A-33R-3,90-93",SANDSTONE,63.82,1.07,14.27,0.05,1.49,0.73,2.34,6.97,0.2,coarse clastic
OKU33B,SANDSTONE,51.69,0.32,5.08,0.56,1.17,29.39,0.29,4.41,0.16,coarse clastic
OKU34,SANDSTONE,64.71,0.58,9.97,0.11,2.47,5.64,4.97,2.48,0.18,coarse clastic
"430A-4-1,68-70",SANDSTONE,49.77,2.93,15.16,0.07,6.87,3.41,4.1,2.67,0.35,coarse clastic
K207-R18(DP)-8,SANDSTONE,50.4,2.5,13.4,0.19,7.59,11.2,2.18,0.37,0.17,coarse clastic
K207-18-4,SANDSTONE,51.0,2.63,13.8,0.16,7.23,10.8,2.3,0.41,0.26,coarse clastic
K207-R18B(DP)-1,SANDSTONE,51.1,2.67,13.8,0.15,7.02,10.9,2.37,0.42,0.24,coarse clastic
K207-R18-7,SANDSTONE,51.3,3.03,14.2,0.15,5.9,10.2,2.6,0.55,0.33,coarse clastic
