River/Tributary,Sample ID,Latitude,Longitude,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,Fe2O3,SUM,L.O.I.,L.O.I. AT 110,Ba,Cr,V,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Yamuna,YRS-171,30.999707,78.462885,2.11,2.05,12.13,69.54,0.09,2.19,1.63,0.41,0.11,5.57,95.83,5.57,2.97,602,57,62,15.594,33.154,3.887,23.941,3.396,0.714,2.947,0.566,4.105,1.078,2.946,0.530,2.900,0.427
Yamuna,YRS-170,30.974968,78.437435,1.86,1.73,11.77,69.66,0.09,2.13,1.53,0.4,0.26,7.46,96.89,5.75,3.41,437,123,54,103.451,219.404,21.700,124.491,14.226,2.105,14.673,3.008,24.258,6.488,18.137,3.238,17.806,2.504
Yamuna,YRS-155A,30.792144,78.134485,1.93,1.22,7.79,81.36,0.05,1.61,1.45,0.25,0.05,2.46,98.17,5.28,3.12,296,34,42,26.938,52.518,5.746,32.432,3.844,0.597,3.169,0.488,2.794,0.662,1.689,0.278,1.460,0.199
Yamuna,YRS-4,30.429893,77.644896,0.65,1.35,5.58,83.74,0.06,1.22,2.11,0.24,0.04,2.18,97.17,7.73,3.57,235,33,33,5.653,12.002,1.409,8.275,1.128,0.189,0.977,0.147,1.032,0.253,0.688,0.122,0.672,0.097
Tributary,YRS-169A,30.972665,78.431855,0.63,5.53,10.94,62.64,0.16,1.72,1.59,1.01,0.05,8.75,93.02,10.2,5.14,218,99,150,9.954,21.685,2.416,15.424,2.268,0.540,2.090,0.339,2.155,0.490,1.217,0.183,0.903,0.108
Tributary,YRS-169,30.970787,78.432566,1.81,1.87,11.75,68.49,0.11,2.03,1.65,0.47,0.23,7.28,95.69,6.68,3.93,489,53,59,52.062,110.706,11.009,63.576,7.650,1.078,7.450,1.337,10.324,2.734,7.426,1.308,6.847,0.950
Tributary,YRS-168,30.953726,78.412989,1.67,1.78,9.64,73.09,0.08,1.56,2.71,0.4,0.1,3.98,95.01,8.71,4.08,416,53,64,24.489,50.448,5.683,35.404,5.096,0.654,4.499,0.797,5.609,1.439,3.939,0.683,3.727,0.487
Tributary,YRS-167A,30.950226,78.413534,1.08,2.64,8.63,75.32,0.13,2.02,1.2,0.5,0.04,3.93,95.49,7.73,3.88,419,38,67,37.139,78.734,8.752,52.486,6.980,0.794,5.938,0.868,4.929,1.031,2.529,0.373,1.859,0.247
Tributary,YRS-165,30.923091,78.38412,2.58,2.88,12.24,63.49,0.2,2.59,2.44,0.94,0.06,7.12,94.54,7.71,3.83,507,41,114,53.628,111.715,11.873,69.841,9.006,1.048,7.618,1.065,5.933,1.249,2.916,0.444,2.162,0.270
Tributary,YRS-163,30.888428,78.305031,1.39,2.45,7.73,73.79,0.07,0.97,2.56,0.47,0.07,4.63,94.13,10.28,6.33,243,60,82,15.819,32.253,3.559,21.136,2.889,0.651,2.609,0.431,2.639,0.666,1.667,0.281,1.411,0.192
Tributary,YRS-159,30.848773,78.28186,1.04,2.29,6.2,79.29,0.07,0.94,1.47,0.47,0.05,3.85,95.67,9.14,6.05,265,61,77,7.879,16.958,2.010,12.400,1.834,0.454,1.713,0.301,1.811,0.446,1.113,0.182,0.901,0.111
Tributary,YRS-158A,30.831718,78.25145,1.65,1.98,8.06,72.96,0.09,1.29,3.21,0.58,0.1,4.47,94.39,9.28,5.29,359,60,74,88.035,187.405,18.682,108.484,13.349,1.686,11.277,1.675,10.517,2.510,6.715,1.183,6.270,0.850
