,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W),SiO2/Al2O3,K2O/Al2O3,Al2O3/TiO2
SiO2,1.00,-0.64,-0.81,-0.30,-0.82,-0.20,-0.45,-0.13,0.04,-0.69,-0.45,-0.45,-0.43,-0.44,-0.47,-0.42,0.18,-0.69,-0.03,0.85,-0.19,-0.03
TiO2,-0.64,1.00,0.54,0.40,0.70,-0.03,0.45,-0.24,0.08,0.43,0.74,0.24,0.23,0.26,0.24,0.26,-0.18,0.57,-0.00,-0.59,0.04,-0.62
Al2O3,-0.81,0.54,1.00,-0.04,0.71,0.23,-0.04,-0.36,-0.09,0.93,0.36,0.58,0.57,0.54,0.58,0.47,-0.70,0.70,0.57,-0.94,0.47,0.25
Fe2O3,-0.30,0.40,-0.04,1.00,0.62,0.45,0.65,0.22,0.43,-0.28,0.34,-0.34,-0.34,-0.25,-0.31,-0.14,0.40,0.31,-0.57,-0.15,-0.61,-0.41
FeO,-0.82,0.70,0.71,0.62,1.00,0.36,0.52,-0.15,0.03,0.50,0.47,0.36,0.35,0.40,0.38,0.43,-0.24,0.61,0.05,-0.75,-0.05,-0.11
MnO,-0.20,-0.03,0.23,0.45,0.36,1.00,-0.10,-0.04,0.40,0.04,0.13,-0.21,-0.20,-0.18,-0.20,-0.13,-0.12,0.33,0.03,-0.29,-0.26,0.26
MgO,-0.45,0.45,-0.04,0.65,0.52,-0.10,1.00,0.36,-0.03,-0.17,0.32,0.02,0.01,0.10,0.05,0.18,0.54,0.15,-0.62,-0.11,-0.37,-0.43
CaO,-0.13,-0.24,-0.36,0.22,-0.15,-0.04,0.36,1.00,0.07,-0.34,-0.10,-0.25,-0.26,-0.24,-0.22,-0.22,0.81,-0.12,-0.75,0.24,-0.23,0.04
Na2O,0.04,0.08,-0.09,0.43,0.03,0.40,-0.03,0.07,1.00,-0.26,0.28,-0.85,-0.85,-0.85,-0.85,-0.83,0.19,0.58,-0.30,-0.06,-0.41,-0.12
K2O,-0.69,0.43,0.93,-0.28,0.50,0.04,-0.17,-0.34,-0.26,1.00,0.29,0.68,0.67,0.59,0.66,0.46,-0.72,0.58,0.66,-0.82,0.75,0.30
P2O5,-0.45,0.74,0.36,0.34,0.47,0.13,0.32,-0.10,0.28,0.29,1.00,-0.01,-0.01,-0.02,-0.03,-0.04,-0.02,0.57,-0.07,-0.40,0.08,-0.45
(CIW),-0.45,0.24,0.58,-0.34,0.36,-0.21,0.02,-0.25,-0.85,0.68,-0.01,1.00,1.00,0.98,1.00,0.93,-0.52,-0.10,0.55,-0.45,0.59,0.22
(CPA),-0.43,0.23,0.57,-0.34,0.35,-0.20,0.01,-0.26,-0.85,0.67,-0.01,1.00,1.00,0.99,0.99,0.93,-0.53,-0.12,0.56,-0.44,0.59,0.22
(CIA),-0.44,0.26,0.54,-0.25,0.40,-0.18,0.10,-0.24,-0.85,0.59,-0.02,0.98,0.99,1.00,0.99,0.98,-0.48,-0.16,0.48,-0.43,0.45,0.16
(PIA),-0.47,0.24,0.58,-0.31,0.38,-0.20,0.05,-0.22,-0.85,0.66,-0.03,1.00,0.99,0.99,1.00,0.94,-0.50,-0.11,0.51,-0.45,0.54,0.21
(CIX),-0.42,0.26,0.47,-0.14,0.43,-0.13,0.18,-0.22,-0.83,0.46,-0.04,0.93,0.93,0.98,0.94,1.00,-0.40,-0.23,0.38,-0.38,0.27,0.09
(ICV),0.18,-0.18,-0.70,0.40,-0.24,-0.12,0.54,0.81,0.19,-0.72,-0.02,-0.52,-0.53,-0.48,-0.50,-0.40,1.00,-0.28,-0.93,0.57,-0.53,-0.33
(WIP),-0.69,0.57,0.70,0.31,0.61,0.33,0.15,-0.12,0.58,0.58,0.57,-0.10,-0.12,-0.16,-0.11,-0.23,-0.28,1.00,0.12,-0.77,0.18,0.02
(W),-0.03,-0.00,0.57,-0.57,0.05,0.03,-0.62,-0.75,-0.30,0.66,-0.07,0.55,0.56,0.48,0.51,0.38,-0.93,0.12,1.00,-0.41,0.65,0.44
SiO2/Al2O3,0.85,-0.59,-0.94,-0.15,-0.75,-0.29,-0.11,0.24,-0.06,-0.82,-0.40,-0.45,-0.44,-0.43,-0.45,-0.38,0.57,-0.77,-0.41,1.00,-0.32,-0.17
K2O/Al2O3,-0.19,0.04,0.47,-0.61,-0.05,-0.26,-0.37,-0.23,-0.41,0.75,0.08,0.59,0.59,0.45,0.54,0.27,-0.53,0.18,0.65,-0.32,1.00,0.37
Al2O3/TiO2,-0.03,-0.62,0.25,-0.41,-0.11,0.26,-0.43,0.04,-0.12,0.30,-0.45,0.22,0.22,0.16,0.21,0.09,-0.33,0.02,0.44,-0.17,0.37,1.00
