sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,(CIW),(CIW*),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),SiO2/Al2O3,K2O/Al2O3,K2O/Na2O,Al2O3/TiO2,Ba,Cr,V,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,?REE,LREE,HREE,LREE/HREE,La/Lu,Ce/Ce*,Eu/Eu*,Gd/Gd*,LaN/YbN,GdN/YbN
YRS-171,69.54,0.41,12.13,1.34,4.61,0.11,2.05,1.63,2.11,2.19,0.09,63.60,0.78,77.75,56.57,58.43,67.49,0.81,48.57,5.73,0.18,1.04,29.59,602,57,62,15.594,33.154,3.887,23.941,3.396,0.714,2.947,0.566,4.105,1.078,2.946,0.53,2.9,0.427,96.19,83.63,12.55,6.66,3.79,8.66,0.69,0.85,3.63,0.82
YRS-170,69.66,0.4,11.77,1.86,6.03,0.26,1.73,1.53,1.86,2.13,0.09,65.79,0.79,79.37,58.28,60.73,68.69,0.83,44.30,5.92,0.18,1.15,29.43,437,123,54,103.451,219.404,21.7,124.491,14.226,2.105,14.673,3.008,24.258,6.488,18.137,3.238,17.806,2.504,575.49,500.05,75.44,6.63,4.29,28.75,0.45,0.87,3.93,0.67
YRS-155A,81.36,0.25,7.79,0.81,1.78,0.05,1.22,1.45,1.93,1.61,0.05,55.09,0.71,71.04,49.05,48.78,61.30,0.94,39.28,10.44,0.21,0.83,31.16,296,34,42,26.938,52.518,5.746,32.432,3.844,0.597,3.169,0.488,2.794,0.662,1.689,0.278,1.46,0.199,132.81,125.24,7.57,16.54,14.05,10.85,0.52,0.93,12.47,1.76
YRS-4,83.74,0.24,5.58,0.78,1.54,0.04,1.35,2.11,0.65,1.22,0.06,72.29,0.84,83.92,61.73,66.57,70.01,1.15,21.57,15.01,0.22,1.88,23.25,235,33,33,5.653,12.002,1.409,8.275,1.128,0.189,0.977,0.147,1.032,0.253,0.688,0.122,0.672,0.097,32.64,29.63,3.01,9.84,6.05,4.40,0.55,0.96,5.68,1.18
YRS-169A,62.64,1.01,10.94,1.92,7.68,0.05,5.53,1.59,0.63,1.72,0.16,84.07,0.91,91.35,73.55,81.41,79.06,1.14,37.11,5.73,0.16,2.73,10.83,218,99,150,9.954,21.685,2.416,15.424,2.268,0.54,2.09,0.339,2.155,0.49,1.217,0.183,0.903,0.108,59.77,54.38,5.40,10.08,9.57,6.52,0.76,0.95,7.45,1.88
YRS-169,68.49,0.47,11.75,1.79,6,0.23,1.87,1.65,1.81,2.03,0.11,66.36,0.80,79.78,59.04,61.60,69.42,0.84,43.26,5.83,0.17,1.12,25.00,489,53,59,52.062,110.706,11.009,63.576,7.65,1.078,7.45,1.337,10.324,2.734,7.426,1.308,6.847,0.95,284.46,253.53,30.93,8.20,5.69,18.30,0.44,0.92,5.14,0.88
YRS-168,73.09,0.4,9.64,1.15,3.16,0.1,1.78,2.71,1.67,1.56,0.08,63.69,0.78,77.82,57.30,59.14,68.49,0.97,37.40,7.58,0.16,0.93,24.10,416,53,64,24.489,50.448,5.683,35.404,5.096,0.654,4.499,0.797,5.609,1.439,3.939,0.683,3.727,0.487,142.95,126.27,16.68,7.57,5.22,11.06,0.42,0.89,4.44,0.98
YRS-167A,75.32,0.5,8.63,1.15,3.08,0.04,2.64,1.2,1.08,2.02,0.13,70.83,0.83,82.93,60.06,64.45,68.53,1.00,36.88,8.73,0.23,1.87,17.26,419,38,67,37.139,78.734,8.752,52.486,6.98,0.794,5.938,0.868,4.929,1.031,2.529,0.373,1.859,0.247,202.66,190.82,11.84,16.12,15.61,15.10,0.38,0.97,13.50,2.59
YRS-165,63.49,0.94,12.24,1.8,5.92,0.06,2.88,2.44,2.58,2.59,0.2,59.05,0.74,74.25,52.01,52.64,63.46,1.09,59.67,5.19,0.21,1.00,13.02,507,41,114,53.628,111.715,11.873,69.841,9.006,1.048,7.618,1.065,5.933,1.249,2.916,0.444,2.162,0.27,278.77,264.73,14.04,18.86,20.62,18.56,0.39,0.99,16.76,2.86
YRS-163,73.79,0.47,7.73,1.47,3.59,0.07,2.45,2.56,1.39,0.97,0.07,62.83,0.77,77.17,57.89,59.36,69.85,1.21,31.01,9.55,0.13,0.70,16.45,243,60,82,15.819,32.253,3.559,21.136,2.889,0.651,2.609,0.431,2.639,0.666,1.667,0.281,1.411,0.192,86.20,78.92,7.29,10.83,8.55,8.10,0.72,0.94,7.58,1.50
