sample,category,subcategory,subsubcategory,reference,(CIW),(CIW*),(CPA),(CIA),(PIA),(CIX),(ICV),(V),(STI),(SF),(R),(WIP),SiO2/Al2O3,K2O/Al2O3,K2O/Na2O,Al2O3/TiO2,Latitude,Longitude,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,Fe2O3,SUM,L.O.I.,L.O.I. AT 110,Ba,Cr,V
YRS-171,sample,Yamuna,river,this study,63.59996101,0.777505821,77.75058211,56.56883045,58.43352359,67.49487602,0.811211871,1.195586176,87.26505146,137.9360181,9.72929687,48.56808709,5.732893652,0.180544106,1.037914692,29.58536585,30.999707,78.462885,2.11,2.05,12.13,69.54,0.09,2.19,1.63,0.41,0.11,5.57,95.83,5.57,2.97,602,57,62
YRS-170,sample,Yamuna,river,this study,65.79172889,0.793667203,79.36672032,58.28058409,60.73074572,68.68776522,0.830076466,1.341003898,87.49311554,99.54474142,10.04418208,44.29516953,5.918436703,0.180968564,1.14516129,29.425,30.974968,78.437435,1.86,1.73,11.77,69.66,0.09,2.13,1.53,0.4,0.26,7.46,96.89,5.75,3.41,437,123,54
YRS-155A,sample,Yamuna,river,this study,55.09154305,0.710439034,71.04390345,49.04662668,48.77858795,61.30095754,0.939666239,1.010204603,91.12536372,266.9769197,17.7247881,39.27957637,10.44415918,0.206675225,0.834196891,31.16,30.792144,78.134485,1.93,1.22,7.79,81.36,0.05,1.61,1.45,0.25,0.05,2.46,98.17,5.28,3.12,296,34,42
YRS-4,sample,Yamuna,river,this study,72.29257359,0.839183861,83.91838613,61.73096263,66.57362174,70.01336895,1.14516129,1.24248608,91.39313654,285.3554363,25.46867358,21.57414198,15.00716846,0.218637993,1.876923077,23.25,30.429893,77.644896,0.65,1.35,5.58,83.74,0.06,1.22,2.11,0.24,0.04,2.18,97.17,7.73,3.57,235,33,33
YRS-169A,sample,Yamuna,tributary,this study,84.07086823,0.913461962,91.34619621,73.54797473,81.41128328,79.05635729,1.138025594,0.796995725,81.91526566,86.71581641,9.717219137,37.11355871,5.725776965,0.157221207,2.73015873,10.83168317,30.972665,78.431855,0.63,5.53,10.94,62.64,0.16,1.72,1.59,1.01,0.05,8.75,93.02,10.2,5.14,218,99,150
YRS-169,sample,Yamuna,tributary,this study,66.36439761,0.797819709,79.78197086,59.03736548,61.59844227,69.42388214,0.838297872,1.305201816,86.79385819,101.7002293,9.892290679,43.25559036,5.82893617,0.172765957,1.121546961,25,30.970787,78.432566,1.81,1.87,11.75,68.49,0.11,2.03,1.65,0.47,0.23,7.28,95.69,6.68,3.93,489,53,59
YRS-168,sample,Yamuna,tributary,this study,63.69491038,0.778214915,77.8214915,57.30158604,59.13552836,68.48563059,0.971991701,1.13312515,88.44159675,168.930442,12.86733174,37.40232485,7.581950207,0.161825726,0.934131737,24.1,30.953726,78.412989,1.67,1.78,9.64,73.09,0.08,1.56,2.71,0.4,0.1,3.98,95.01,8.71,4.08,416,53,64
YRS-167A,sample,Yamuna,tributary,this study,70.83394289,0.82927247,82.927247,60.05578297,64.45464924,68.52871519,1,1.057121331,87.60554129,174.0845655,14.81177429,36.88039944,8.72769409,0.234067207,1.87037037,17.26,30.950226,78.413534,1.08,2.64,8.63,75.32,0.13,2.02,1.2,0.5,0.04,3.93,95.49,7.73,3.88,419,38,67
YRS-165,sample,Yamuna,tributary,this study,59.04846164,0.742521632,74.25216319,52.01365585,52.64353757,63.45943038,1.085784314,0.953659768,82.53265285,93.75201676,8.803015753,59.67000981,5.187091503,0.211601307,1.003875969,13.0212766,30.923091,78.38412,2.58,2.88,12.24,63.49,0.2,2.59,2.44,0.94,0.06,7.12,94.54,7.71,3.83,507,41,114
YRS-163,sample,Yamuna,tributary,this study,62.82821736,0.771711665,77.1711665,57.88802867,59.35998107,69.84937086,1.213454075,0.815120654,87.76930225,133.4221616,16.20039435,31.01161691,9.545924968,0.125485123,0.697841727,16.44680851,30.888428,78.305031,1.39,2.45,7.73,73.79,0.07,0.97,2.56,0.47,0.07,4.63,94.13,10.28,6.33,243,60,82
