sample,category,subcategory,subsubcategory,reference,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W)
UCC-1,composite,upper_continental_crust,UCC,"Shaw et al., 1967, 1976, 1986",56.23,71.99,49.81,49.75,61.78,0.99,74.46,65.05
UCC-2,composite,upper_continental_crust,UCC,"Fahrig and Eade, 1968; Eade and Fahrig, 1973",55.35,71.26,49.94,49.93,62.54,0.87,76.38,65.93
UCC-3,composite,upper_continental_crust,UCC,"Ronov and Yaroshevskiy, 1976",63.14,77.41,55.89,57.64,66.78,0.92,66.25,62.97
UCC-4,composite,upper_continental_crust,UCC,"Gao et al., 1998",60.09,75.07,53.51,54.49,65.07,0.96,62.94,61.92
UCC-5,composite,upper_continental_crust,UCC,"Taylor and McLennan, 1985, 1995",54.24,70.33,47.95,47.33,60.11,1.01,79.69,65.32
UCC-6,composite,upper_continental_crust,UCC,"Wedepohl, 1995",56.23,71.99,49.81,49.75,61.78,0.99,74.46,65.05
UCC-7,composite,upper_continental_crust,UCC,"Rudnick and Gao, 2003",58.87,74.11,52.76,53.48,64.68,0.9,68.3,63.8
UCC-8,composite,upper_continental_crust,UCC,"Togashi et al., 2000",62.11,76.63,55.91,57.38,67.4,0.91,58.87,61.87
Dunite,composite,igneous_composite,ultramafic,"Hyndman, 1985; Le Maitre, 1976",73.45,84.69,70.97,72.48,81.41,23.97,107.58,13.98
Harzburgite,composite,igneous_composite,ultramafic,"Hyndman, 1985; Le Maitre, 1976",69.73,82.17,66.73,68.31,78.03,18.05,96.23,7.75
Peridotite,composite,igneous_composite,ultramafic,"Hyndman, 1985; Le Maitre, 1976",72.4,83.99,68.11,70.55,78.27,9.87,94.66,8.24
Lherzolite,composite,igneous_composite,ultramafic,"Hyndman, 1985; Le Maitre, 1976",69.43,81.96,66.39,67.97,77.76,9.71,86.67,7.12
Anorthosite,composite,igneous_composite,mafic,"Hyndman, 1985; Le Maitre, 1976",71.39,83.31,70.03,70.82,81.46,0.78,47.67,38.8
Gabbro,composite,igneous_composite,mafic,"Hyndman, 1985; Le Maitre, 1976",66.31,79.75,63.57,64.8,75.81,1.6,56.37,17.57
Basalt,composite,igneous_composite,mafic,"Hyndman, 1985; Le Maitre, 1976",62.18,76.68,59.38,60.31,72.47,1.65,61.43,16.07
Tholeiite,composite,igneous_composite,mafic,"Hyndman, 1985; Le Maitre, 1976",65.48,79.14,64.16,64.75,77.21,1.76,51.09,9.9
Andesite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",59.78,74.83,56.31,57.14,69.47,1.15,63.04,36.64
Dacite,composite,igneous_composite,felsic,"Hyndman, 1985; Le Maitre, 1976",56.06,71.84,51.78,52.1,64.96,0.95,67.02,58.06
Tonalite,composite,igneous_composite,felsic,"Hyndman, 1985; Le Maitre, 1976",58.9,74.13,55.19,55.93,68.35,0.87,61.4,56.8
Diorite_and_Granodiorite_quartz_diorite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",58.5,73.81,56.37,56.87,70.45,1.16,65.88,28.84
Granodiorite_and_quartz_monzodiorite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",57.93,73.36,51.96,52.47,64.05,0.83,69.74,66.67
Rhyolite,composite,igneous_composite,felsic,"Hyndman, 1985; Le Maitre, 1976",63.35,69.44,51.83,52.88,55.84,0.84,72.9,52.73
Granite,composite,igneous_composite,felsic,"Hyndman, 1985; Le Maitre, 1976",60.89,70.29,51.28,51.88,57.79,0.83,74.86,59.5
Trachyte,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",56.81,65.33,48.12,47.29,54.1,1.04,100.75,68.92
Syenite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",53.99,65.87,45.99,44.31,54.35,1.18,103.3,63.04
Nepheline_syenite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",54.28,59.32,46.59,45.24,50.25,1.07,132.49,67.8
Phonolite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",54.46,58.82,47.08,46,50.31,1,127.3,62.73
NASC,composite,shale_composite,shale,"McLennan et al., 1983; McLennan, 2009; Gromet et al., 1984",81.84,90.01,67.74,77.06,73.25,0.79,54.74,65.65
PAAS,composite,shale_composite,shale,"Taylor and McLennan, 1985; Barth et al., 2000; Haskin and Haskin, 1966; McLennan, 2009; Nance and Taylor, 1976; McLennan, 1981, 1989",82.72,90.54,70.38,79.05,75.97,0.55,51.32,73.81
shale,composite,shale_composite,shale,"Mason, 1982",77.93,87.59,66.11,73.12,72.94,0.81,49.05,62.58
IAS+sd,composite,shale_composite,shale,"Ray and Paul, 2021",91.06,95.32,77.69,89.2,80.77,0.39,40.42,80.6
IAS,composite,shale_composite,shale,"Ray and Paul, 2021",91.66,95.65,79.57,90.16,82.55,0.33,33.37,80.46
IAS-sd,composite,shale_composite,shale,"Ray and Paul, 2021",92.36,96.03,81.84,91.23,84.71,0.26,26.33,78.61
IPAS+sd,composite,shale_composite,shale,"Ray and Paul, 2021",89.03,94.2,72.55,85.81,75.94,0.6,51.78,73.77
