,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W),SiO2/Al2O3,K2O/Al2O3,Al2O3/TiO2
SiO2,1.00,-0.90,-0.61,-0.49,-0.68,-0.89,-0.75,-0.71,-0.88,0.05,-0.21,0.64,0.63,0.61,0.60,0.56,-0.58,-0.89,0.82,0.75,0.31,0.60
TiO2,-0.90,1.00,0.39,0.25,0.45,0.64,0.73,0.56,0.85,0.22,0.48,-0.73,-0.72,-0.74,-0.73,-0.73,0.77,0.92,-0.69,-0.55,0.05,-0.84
Al2O3,-0.61,0.39,1.00,0.56,0.68,0.71,0.15,0.26,0.29,0.12,0.26,0.13,0.15,0.16,0.17,0.22,-0.26,0.30,-0.27,-0.97,-0.37,0.16
Fe2O3,-0.49,0.25,0.56,1.00,0.96,0.51,0.33,0.34,0.14,-0.20,-0.03,0.16,0.14,0.20,0.22,0.23,-0.03,0.14,-0.50,-0.57,-0.41,0.11
FeO,-0.68,0.45,0.68,0.96,1.00,0.69,0.50,0.39,0.36,-0.21,0.00,-0.02,-0.03,0.03,0.05,0.08,0.09,0.35,-0.65,-0.70,-0.48,-0.04
MnO,-0.89,0.64,0.71,0.51,0.69,1.00,0.64,0.64,0.82,-0.28,-0.10,-0.51,-0.50,-0.45,-0.43,-0.37,0.31,0.75,-0.81,-0.78,-0.56,-0.29
MgO,-0.75,0.73,0.15,0.33,0.50,0.64,1.00,0.39,0.81,-0.25,-0.07,-0.74,-0.75,-0.71,-0.70,-0.68,0.76,0.83,-0.93,-0.25,-0.23,-0.66
CaO,-0.71,0.56,0.26,0.34,0.39,0.64,0.39,1.00,0.67,-0.11,0.04,-0.57,-0.57,-0.54,-0.53,-0.52,0.51,0.62,-0.55,-0.46,-0.21,-0.46
Na2O,-0.88,0.85,0.29,0.14,0.36,0.82,0.81,0.67,1.00,-0.17,0.03,-0.91,-0.90,-0.88,-0.87,-0.83,0.76,0.97,-0.85,-0.44,-0.25,-0.75
K2O,0.05,0.22,0.12,-0.20,-0.21,-0.28,-0.25,-0.11,-0.17,1.00,0.95,0.14,0.15,0.03,0.01,-0.06,0.03,0.05,0.44,-0.14,0.87,-0.19
P2O5,-0.21,0.48,0.26,-0.03,0.00,-0.10,-0.07,0.04,0.03,0.95,1.00,0.01,0.01,-0.09,-0.11,-0.17,0.19,0.24,0.23,-0.32,0.76,-0.37
(CIW),0.64,-0.73,0.13,0.16,-0.02,-0.51,-0.74,-0.57,-0.91,0.14,0.01,1.00,1.00,0.99,0.99,0.97,-0.91,-0.88,0.72,0.04,0.03,0.87
(CPA),0.63,-0.72,0.15,0.14,-0.03,-0.50,-0.75,-0.57,-0.90,0.15,0.01,1.00,1.00,0.99,0.99,0.97,-0.92,-0.88,0.73,0.02,0.02,0.88
(CIA),0.61,-0.74,0.16,0.20,0.03,-0.45,-0.71,-0.54,-0.88,0.03,-0.09,0.99,0.99,1.00,1.00,0.99,-0.93,-0.88,0.66,0.01,-0.09,0.90
(PIA),0.60,-0.73,0.17,0.22,0.05,-0.43,-0.70,-0.53,-0.87,0.01,-0.11,0.99,0.99,1.00,1.00,1.00,-0.92,-0.87,0.64,0.00,-0.12,0.90
(CIX),0.56,-0.73,0.22,0.23,0.08,-0.37,-0.68,-0.52,-0.83,-0.06,-0.17,0.97,0.97,0.99,1.00,1.00,-0.94,-0.85,0.60,-0.04,-0.21,0.93
(ICV),-0.58,0.77,-0.26,-0.03,0.09,0.31,0.76,0.51,0.76,0.03,0.19,-0.91,-0.92,-0.93,-0.92,-0.94,1.00,0.81,-0.66,0.07,0.20,-0.96
(WIP),-0.89,0.92,0.30,0.14,0.35,0.75,0.83,0.62,0.97,0.05,0.24,-0.88,-0.88,-0.88,-0.87,-0.85,0.81,1.00,-0.80,-0.46,-0.05,-0.81
(W),0.82,-0.69,-0.27,-0.50,-0.65,-0.81,-0.93,-0.55,-0.85,0.44,0.23,0.72,0.73,0.66,0.64,0.60,-0.66,-0.80,1.00,0.37,0.47,0.55
SiO2/Al2O3,0.75,-0.55,-0.97,-0.57,-0.70,-0.78,-0.25,-0.46,-0.44,-0.14,-0.32,0.04,0.02,0.01,0.00,-0.04,0.07,-0.46,0.37,1.00,0.33,0.03
K2O/Al2O3,0.31,0.05,-0.37,-0.41,-0.48,-0.56,-0.23,-0.21,-0.25,0.87,0.76,0.03,0.02,-0.09,-0.12,-0.21,0.20,-0.05,0.47,0.33,1.00,-0.28
Al2O3/TiO2,0.60,-0.84,0.16,0.11,-0.04,-0.29,-0.66,-0.46,-0.75,-0.19,-0.37,0.87,0.88,0.90,0.90,0.93,-0.96,-0.81,0.55,0.03,-0.28,1.00
