,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W),SiO2/Al2O3,K2O/Al2O3,Al2O3/TiO2
SiO2,1.00,0.12,-0.35,-0.26,-0.04,-0.75,-0.25,-0.91,-0.20,-0.60,-0.10,-0.05,-0.05,0.42,0.45,0.49,-0.85,-0.53,0.64,0.55,-0.54,-0.79
TiO2,0.12,1.00,0.22,0.70,0.78,0.14,0.50,-0.22,0.19,-0.19,0.50,-0.17,-0.15,0.14,0.17,0.25,-0.21,-0.01,0.24,-0.25,-0.36,-0.55
Al2O3,-0.35,0.22,1.00,0.11,0.39,0.21,0.55,-0.03,0.92,0.58,0.53,-0.48,-0.47,-0.41,-0.40,-0.27,-0.16,0.86,-0.16,-0.84,0.05,-0.04
Fe2O3,-0.26,0.70,0.11,1.00,0.89,0.67,0.56,0.18,0.10,-0.19,0.60,-0.18,-0.16,0.05,0.05,0.16,0.20,-0.04,0.01,-0.31,-0.25,-0.18
FeO,-0.04,0.78,0.39,0.89,1.00,0.47,0.72,-0.16,0.38,-0.22,0.82,-0.33,-0.31,0.14,0.15,0.33,-0.19,0.07,0.21,-0.41,-0.49,-0.46
MnO,-0.75,0.14,0.21,0.67,0.47,1.00,0.44,0.69,0.11,0.24,0.52,-0.02,-0.01,-0.22,-0.25,-0.22,0.66,0.25,-0.34,-0.45,0.23,0.51
MgO,-0.25,0.50,0.55,0.56,0.72,0.44,1.00,0.07,0.49,-0.17,0.77,-0.31,-0.30,0.14,0.13,0.32,-0.00,0.18,0.01,-0.56,-0.47,-0.13
CaO,-0.91,-0.22,-0.03,0.18,-0.16,0.69,0.07,1.00,-0.16,0.41,-0.13,0.25,0.25,-0.29,-0.33,-0.42,0.99,0.22,-0.62,-0.24,0.57,0.89
Na2O,-0.20,0.19,0.92,0.10,0.38,0.11,0.49,-0.16,1.00,0.45,0.46,-0.78,-0.76,-0.52,-0.52,-0.29,-0.27,0.81,-0.28,-0.75,-0.07,-0.14
K2O,-0.60,-0.19,0.58,-0.19,-0.22,0.24,-0.17,0.41,0.45,1.00,-0.16,-0.10,-0.09,-0.74,-0.74,-0.84,0.34,0.89,-0.44,-0.60,0.82,0.49
P2O5,-0.10,0.50,0.53,0.60,0.82,0.52,0.77,-0.13,0.46,-0.16,1.00,-0.24,-0.23,0.21,0.20,0.37,-0.21,0.16,0.29,-0.44,-0.48,-0.29
(CIW),-0.05,-0.17,-0.48,-0.18,-0.33,-0.02,-0.31,0.25,-0.78,-0.10,-0.24,1.00,1.00,0.58,0.59,0.28,0.29,-0.45,0.39,0.49,0.19,0.23
(CPA),-0.05,-0.15,-0.47,-0.16,-0.31,-0.01,-0.30,0.25,-0.76,-0.09,-0.23,1.00,1.00,0.58,0.60,0.28,0.29,-0.44,0.40,0.48,0.18,0.23
(CIA),0.42,0.14,-0.41,0.05,0.14,-0.22,0.14,-0.29,-0.52,-0.74,0.21,0.58,0.58,1.00,1.00,0.94,-0.27,-0.74,0.65,0.62,-0.69,-0.38
(PIA),0.45,0.17,-0.40,0.05,0.15,-0.25,0.13,-0.33,-0.52,-0.74,0.20,0.59,0.60,1.00,1.00,0.93,-0.30,-0.74,0.69,0.60,-0.68,-0.42
(CIX),0.49,0.25,-0.27,0.16,0.33,-0.22,0.32,-0.42,-0.29,-0.84,0.37,0.28,0.28,0.94,0.93,1.00,-0.41,-0.69,0.60,0.51,-0.89,-0.53
(ICV),-0.85,-0.21,-0.16,0.20,-0.19,0.66,-0.00,0.99,-0.27,0.34,-0.21,0.29,0.29,-0.27,-0.30,-0.41,1.00,0.11,-0.59,-0.14,0.57,0.87
(WIP),-0.53,-0.01,0.86,-0.04,0.07,0.25,0.18,0.22,0.81,0.89,0.16,-0.45,-0.44,-0.74,-0.74,-0.69,0.11,1.00,-0.43,-0.80,0.50,0.27
(W),0.64,0.24,-0.16,0.01,0.21,-0.34,0.01,-0.62,-0.28,-0.44,0.29,0.39,0.40,0.65,0.69,0.60,-0.59,-0.43,1.00,0.37,-0.44,-0.63
SiO2/Al2O3,0.55,-0.25,-0.84,-0.31,-0.41,-0.45,-0.56,-0.24,-0.75,-0.60,-0.44,0.49,0.48,0.62,0.60,0.51,-0.14,-0.80,0.37,1.00,-0.29,-0.18
K2O/Al2O3,-0.54,-0.36,0.05,-0.25,-0.49,0.23,-0.47,0.57,-0.07,0.82,-0.48,0.19,0.18,-0.69,-0.68,-0.89,0.57,0.50,-0.44,-0.29,1.00,0.68
Al2O3/TiO2,-0.79,-0.55,-0.04,-0.18,-0.46,0.51,-0.13,0.89,-0.14,0.49,-0.29,0.23,0.23,-0.38,-0.42,-0.53,0.87,0.27,-0.63,-0.18,0.68,1.00
