,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W),SiO2/Al2O3,K2O/Al2O3,Al2O3/TiO2
SiO2,1.00,-0.02,0.35,0.19,-0.19,0.08,-0.68,0.58,-0.11,0.55,-0.10,0.34,0.33,0.32,0.31,0.30,-0.42,-0.73,0.56,-0.16,0.30,0.35
TiO2,-0.02,1.00,0.17,0.29,0.38,-0.04,0.00,-0.16,-0.06,-0.02,-0.08,0.19,0.19,0.21,0.22,0.23,-0.09,-0.02,0.01,-0.20,-0.34,-0.11
Al2O3,0.35,0.17,1.00,0.47,0.41,0.79,-0.55,0.66,0.23,0.85,0.32,0.72,0.73,0.74,0.75,0.76,-0.92,-0.40,0.77,-0.95,-0.30,0.96
Fe2O3,0.19,0.29,0.47,1.00,0.77,0.40,-0.35,0.42,-0.09,0.48,0.09,0.41,0.39,0.41,0.42,0.40,-0.35,-0.37,0.11,-0.37,-0.06,0.38
FeO,-0.19,0.38,0.41,0.77,1.00,0.38,0.03,0.19,0.00,0.28,0.13,0.37,0.37,0.38,0.40,0.39,-0.28,0.07,-0.06,-0.46,-0.26,0.31
MnO,0.08,-0.04,0.79,0.40,0.38,1.00,-0.44,0.64,0.19,0.78,0.56,0.59,0.61,0.60,0.59,0.61,-0.78,-0.30,0.55,-0.82,-0.01,0.82
MgO,-0.68,0.00,-0.55,-0.35,0.03,-0.44,1.00,-0.68,-0.26,-0.64,-0.33,-0.25,-0.25,-0.25,-0.24,-0.24,0.72,0.91,-0.71,0.42,-0.13,-0.55
CaO,0.58,-0.16,0.66,0.42,0.19,0.64,-0.68,1.00,0.25,0.75,0.36,0.40,0.40,0.39,0.39,0.39,-0.65,-0.55,0.46,-0.52,0.15,0.71
Na2O,-0.11,-0.06,0.23,-0.09,0.00,0.19,-0.26,0.25,1.00,-0.07,0.63,-0.49,-0.48,-0.46,-0.45,-0.43,-0.17,0.15,0.12,-0.15,-0.48,0.24
K2O,0.55,-0.02,0.85,0.48,0.28,0.78,-0.64,0.75,-0.07,1.00,0.21,0.80,0.80,0.79,0.77,0.78,-0.87,-0.61,0.80,-0.80,0.24,0.86
P2O5,-0.10,-0.08,0.32,0.09,0.13,0.56,-0.33,0.36,0.63,0.21,1.00,-0.12,-0.11,-0.11,-0.12,-0.09,-0.32,-0.06,0.23,-0.30,-0.13,0.35
(CIW),0.34,0.19,0.72,0.41,0.37,0.59,-0.25,0.40,-0.49,0.80,-0.12,1.00,1.00,1.00,1.00,0.99,-0.70,-0.40,0.59,-0.76,0.08,0.68
(CPA),0.33,0.19,0.73,0.39,0.37,0.61,-0.25,0.40,-0.48,0.80,-0.11,1.00,1.00,1.00,0.99,0.99,-0.71,-0.39,0.60,-0.77,0.09,0.69
(CIA),0.32,0.21,0.74,0.41,0.38,0.60,-0.25,0.39,-0.46,0.79,-0.11,1.00,1.00,1.00,1.00,1.00,-0.72,-0.38,0.59,-0.78,0.03,0.70
(PIA),0.31,0.22,0.75,0.42,0.40,0.59,-0.24,0.39,-0.45,0.77,-0.12,1.00,0.99,1.00,1.00,1.00,-0.71,-0.37,0.59,-0.79,-0.01,0.70
(CIX),0.30,0.23,0.76,0.40,0.39,0.61,-0.24,0.39,-0.43,0.78,-0.09,0.99,0.99,1.00,1.00,1.00,-0.73,-0.36,0.60,-0.81,-0.01,0.71
(ICV),-0.42,-0.09,-0.92,-0.35,-0.28,-0.78,0.72,-0.65,-0.17,-0.87,-0.32,-0.70,-0.71,-0.72,-0.71,-0.73,1.00,0.61,-0.86,0.92,0.11,-0.91
(WIP),-0.73,-0.02,-0.40,-0.37,0.07,-0.30,0.91,-0.55,0.15,-0.61,-0.06,-0.40,-0.39,-0.38,-0.37,-0.36,0.61,1.00,-0.63,0.29,-0.33,-0.38
(W),0.56,0.01,0.77,0.11,-0.06,0.55,-0.71,0.46,0.12,0.80,0.23,0.59,0.60,0.59,0.59,0.60,-0.86,-0.63,1.00,-0.72,0.04,0.77
SiO2/Al2O3,-0.16,-0.20,-0.95,-0.37,-0.46,-0.82,0.42,-0.52,-0.15,-0.80,-0.30,-0.76,-0.77,-0.78,-0.79,-0.81,0.92,0.29,-0.72,1.00,0.28,-0.91
K2O/Al2O3,0.30,-0.34,-0.30,-0.06,-0.26,-0.01,-0.13,0.15,-0.48,0.24,-0.13,0.08,0.09,0.03,-0.01,-0.01,0.11,-0.33,0.04,0.28,1.00,-0.21
Al2O3/TiO2,0.35,-0.11,0.96,0.38,0.31,0.82,-0.55,0.71,0.24,0.86,0.35,0.68,0.69,0.70,0.70,0.71,-0.91,-0.38,0.77,-0.91,-0.21,1.00
