,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W),SiO2/Al2O3,K2O/Al2O3,Al2O3/TiO2
SiO2,1.00,-0.50,-0.75,-0.19,-0.75,-0.32,-0.65,-0.31,0.74,0.03,-0.41,-0.83,-0.83,-0.80,-0.81,-0.76,0.21,0.23,0.15,0.90,0.55,0.30
TiO2,-0.50,1.00,0.67,0.33,0.82,0.67,0.16,-0.40,-0.73,-0.36,0.35,0.78,0.77,0.83,0.82,0.84,-0.68,-0.58,0.51,-0.66,-0.77,-0.65
Al2O3,-0.75,0.67,1.00,-0.13,0.92,0.62,0.43,-0.36,-0.60,0.22,0.42,0.81,0.80,0.77,0.80,0.72,-0.76,-0.04,0.43,-0.94,-0.49,-0.31
Fe2O3,-0.19,0.33,-0.13,1.00,0.20,0.17,0.24,0.31,-0.30,-0.53,0.22,0.19,0.21,0.26,0.27,0.31,0.24,-0.46,-0.04,-0.03,-0.45,-0.59
FeO,-0.75,0.82,0.92,0.20,1.00,0.69,0.38,-0.31,-0.73,-0.01,0.43,0.86,0.85,0.85,0.87,0.82,-0.69,-0.29,0.41,-0.87,-0.64,-0.47
MnO,-0.32,0.67,0.62,0.17,0.69,1.00,0.06,-0.47,-0.44,0.05,0.40,0.55,0.54,0.53,0.56,0.51,-0.63,-0.18,0.53,-0.54,-0.40,-0.35
MgO,-0.65,0.16,0.43,0.24,0.38,0.06,1.00,0.29,-0.19,0.02,0.64,0.34,0.35,0.35,0.38,0.37,0.06,0.18,-0.12,-0.56,-0.38,-0.39
CaO,-0.31,-0.40,-0.36,0.31,-0.31,-0.47,0.29,1.00,-0.03,-0.20,-0.08,-0.11,-0.09,-0.10,-0.12,-0.08,0.83,-0.08,-0.86,0.10,0.07,0.17
Na2O,0.74,-0.73,-0.60,-0.30,-0.73,-0.44,-0.19,-0.03,1.00,0.31,-0.11,-0.95,-0.95,-0.93,-0.93,-0.90,0.40,0.68,-0.04,0.72,0.64,0.36
K2O,0.03,-0.36,0.22,-0.53,-0.01,0.05,0.02,-0.20,0.31,1.00,0.01,-0.15,-0.15,-0.34,-0.28,-0.45,-0.10,0.86,-0.02,-0.10,0.72,0.66
P2O5,-0.41,0.35,0.42,0.22,0.43,0.40,0.64,-0.08,-0.11,0.01,1.00,0.27,0.28,0.30,0.32,0.33,-0.18,0.12,0.22,-0.45,-0.39,-0.49
(CIW),-0.83,0.78,0.81,0.19,0.86,0.55,0.34,-0.11,-0.95,-0.15,0.27,1.00,1.00,0.98,0.99,0.94,-0.57,-0.51,0.20,-0.89,-0.68,-0.41
(CPA),-0.83,0.77,0.80,0.21,0.85,0.54,0.35,-0.09,-0.95,-0.15,0.28,1.00,1.00,0.97,0.98,0.93,-0.56,-0.50,0.19,-0.89,-0.67,-0.42
(CIA),-0.80,0.83,0.77,0.26,0.85,0.53,0.35,-0.10,-0.93,-0.34,0.30,0.98,0.97,1.00,0.99,0.99,-0.57,-0.63,0.24,-0.86,-0.82,-0.55
(PIA),-0.81,0.82,0.80,0.27,0.87,0.56,0.38,-0.12,-0.93,-0.28,0.32,0.99,0.98,0.99,1.00,0.98,-0.58,-0.57,0.26,-0.88,-0.79,-0.55
(CIX),-0.76,0.84,0.72,0.31,0.82,0.51,0.37,-0.08,-0.90,-0.45,0.33,0.94,0.93,0.99,0.98,1.00,-0.55,-0.68,0.26,-0.82,-0.88,-0.64
(ICV),0.21,-0.68,-0.76,0.24,-0.69,-0.63,0.06,0.83,0.40,-0.10,-0.18,-0.57,-0.56,-0.57,-0.58,-0.55,1.00,0.16,-0.80,0.58,0.42,0.34
(WIP),0.23,-0.58,-0.04,-0.46,-0.29,-0.18,0.18,-0.08,0.68,0.86,0.12,-0.51,-0.50,-0.63,-0.57,-0.68,0.16,1.00,-0.07,0.16,0.73,0.54
(W),0.15,0.51,0.43,-0.04,0.41,0.53,-0.12,-0.86,-0.04,-0.02,0.22,0.20,0.19,0.24,0.26,0.26,-0.80,-0.07,1.00,-0.24,-0.35,-0.54
SiO2/Al2O3,0.90,-0.66,-0.94,-0.03,-0.87,-0.54,-0.56,0.10,0.72,-0.10,-0.45,-0.89,-0.89,-0.86,-0.88,-0.82,0.58,0.16,-0.24,1.00,0.58,0.37
K2O/Al2O3,0.55,-0.77,-0.49,-0.45,-0.64,-0.40,-0.38,0.07,0.64,0.72,-0.39,-0.68,-0.67,-0.82,-0.79,-0.88,0.42,0.73,-0.35,0.58,1.00,0.87
Al2O3/TiO2,0.30,-0.65,-0.31,-0.59,-0.47,-0.35,-0.39,0.17,0.36,0.66,-0.49,-0.41,-0.42,-0.55,-0.55,-0.64,0.34,0.54,-0.54,0.37,0.87,1.00
