,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W),SiO2/Al2O3,K2O/Al2O3,Al2O3/TiO2
SiO2,1.00,-0.78,-0.94,-0.82,-0.95,-0.86,-0.92,-0.58,-0.45,-0.62,-0.70,-0.46,-0.46,-0.57,-0.53,-0.65,-0.18,-0.71,0.65,0.96,0.63,0.51
TiO2,-0.78,1.00,0.54,0.99,0.91,0.76,0.82,0.85,0.18,0.01,0.98,0.35,0.35,0.50,0.44,0.61,0.64,0.28,-0.91,-0.58,-0.91,-0.92
Al2O3,-0.94,0.54,1.00,0.59,0.81,0.79,0.81,0.32,0.49,0.85,0.43,0.48,0.48,0.54,0.52,0.58,-0.13,0.80,-0.39,-1.00,-0.42,-0.21
Fe2O3,-0.82,0.99,0.59,1.00,0.95,0.79,0.84,0.80,0.15,0.08,0.95,0.44,0.44,0.58,0.53,0.69,0.58,0.29,-0.87,-0.64,-0.88,-0.91
FeO,-0.95,0.91,0.81,0.95,1.00,0.90,0.88,0.66,0.23,0.38,0.85,0.56,0.56,0.68,0.64,0.77,0.32,0.47,-0.74,-0.84,-0.80,-0.74
MnO,-0.86,0.76,0.79,0.79,0.90,1.00,0.65,0.38,0.08,0.46,0.72,0.68,0.68,0.76,0.74,0.81,0.04,0.37,-0.50,-0.79,-0.64,-0.56
MgO,-0.92,0.82,0.81,0.84,0.88,0.65,1.00,0.80,0.61,0.44,0.74,0.17,0.18,0.31,0.26,0.43,0.46,0.74,-0.82,-0.84,-0.67,-0.59
CaO,-0.58,0.85,0.32,0.80,0.66,0.38,0.80,1.00,0.49,-0.15,0.86,-0.18,-0.17,-0.01,-0.08,0.13,0.90,0.40,-0.99,-0.38,-0.70,-0.79
Na2O,-0.45,0.18,0.49,0.15,0.23,0.08,0.61,0.49,1.00,0.50,0.17,-0.53,-0.53,-0.46,-0.49,-0.38,0.27,0.91,-0.44,-0.52,0.03,0.11
K2O,-0.62,0.01,0.85,0.08,0.38,0.46,0.44,-0.15,0.50,1.00,-0.10,0.32,0.32,0.30,0.31,0.28,-0.56,0.78,0.10,-0.82,0.07,0.34
P2O5,-0.70,0.98,0.43,0.95,0.85,0.72,0.74,0.86,0.17,-0.10,1.00,0.25,0.25,0.40,0.35,0.52,0.71,0.21,-0.93,-0.47,-0.85,-0.93
(CIW),-0.46,0.35,0.48,0.44,0.56,0.68,0.17,-0.18,-0.53,0.32,0.25,1.00,1.00,0.99,0.99,0.95,-0.39,-0.15,0.06,-0.45,-0.45,-0.31
(CPA),-0.46,0.35,0.48,0.44,0.56,0.68,0.18,-0.17,-0.53,0.32,0.25,1.00,1.00,0.99,0.99,0.95,-0.38,-0.15,0.06,-0.45,-0.46,-0.32
(CIA),-0.57,0.50,0.54,0.58,0.68,0.76,0.31,-0.01,-0.46,0.30,0.40,0.99,0.99,1.00,1.00,0.99,-0.25,-0.08,-0.10,-0.52,-0.57,-0.45
(PIA),-0.53,0.44,0.52,0.53,0.64,0.74,0.26,-0.08,-0.49,0.31,0.35,0.99,0.99,1.00,1.00,0.98,-0.30,-0.11,-0.04,-0.50,-0.53,-0.40
(CIX),-0.65,0.61,0.58,0.69,0.77,0.81,0.43,0.13,-0.38,0.28,0.52,0.95,0.95,0.99,0.98,1.00,-0.11,-0.02,-0.24,-0.57,-0.67,-0.56
(ICV),-0.18,0.64,-0.13,0.58,0.32,0.04,0.46,0.90,0.27,-0.56,0.71,-0.39,-0.38,-0.25,-0.30,-0.11,1.00,0.03,-0.85,0.06,-0.53,-0.75
(WIP),-0.71,0.28,0.80,0.29,0.47,0.37,0.74,0.40,0.91,0.78,0.21,-0.15,-0.15,-0.08,-0.11,-0.02,0.03,1.00,-0.39,-0.80,-0.09,0.08
(W),0.65,-0.91,-0.39,-0.87,-0.74,-0.50,-0.82,-0.99,-0.44,0.10,-0.93,0.06,0.06,-0.10,-0.04,-0.24,-0.85,-0.39,1.00,0.45,0.77,0.84
SiO2/Al2O3,0.96,-0.58,-1.00,-0.64,-0.84,-0.79,-0.84,-0.38,-0.52,-0.82,-0.47,-0.45,-0.45,-0.52,-0.50,-0.57,0.06,-0.80,0.45,1.00,0.45,0.26
K2O/Al2O3,0.63,-0.91,-0.42,-0.88,-0.80,-0.64,-0.67,-0.70,0.03,0.07,-0.85,-0.45,-0.46,-0.57,-0.53,-0.67,-0.53,-0.09,0.77,0.45,1.00,0.88
Al2O3/TiO2,0.51,-0.92,-0.21,-0.91,-0.74,-0.56,-0.59,-0.79,0.11,0.34,-0.93,-0.31,-0.32,-0.45,-0.40,-0.56,-0.75,0.08,0.84,0.26,0.88,1.00
