,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W),SiO2/Al2O3,K2O/Al2O3,Al2O3/TiO2
SiO2,1.00,-0.46,-0.92,-0.14,-0.92,-0.23,-0.85,-0.71,0.56,-0.86,-0.32,-0.81,-0.81,-0.70,-0.79,-0.48,-0.30,-0.73,0.63,0.97,-0.59,-0.53
TiO2,-0.46,1.00,0.51,0.35,0.61,-0.22,0.66,-0.00,0.31,0.41,-0.14,0.01,0.01,-0.09,-0.02,-0.19,0.25,0.72,-0.36,-0.53,0.19,-0.43
Al2O3,-0.92,0.51,1.00,-0.13,0.85,0.04,0.77,0.51,-0.50,0.83,0.19,0.80,0.80,0.74,0.79,0.56,0.02,0.71,-0.35,-0.98,0.48,0.56
Fe2O3,-0.14,0.35,-0.13,1.00,0.39,0.40,0.29,0.12,0.40,-0.06,0.39,-0.34,-0.34,-0.40,-0.36,-0.42,0.62,0.24,-0.67,-0.01,-0.04,-0.48
FeO,-0.92,0.61,0.85,0.39,1.00,0.34,0.79,0.48,-0.29,0.66,0.48,0.59,0.59,0.54,0.58,0.41,0.24,0.68,-0.61,-0.91,0.34,0.31
MnO,-0.23,-0.22,0.04,0.40,0.34,1.00,-0.13,0.17,-0.20,-0.18,0.86,0.17,0.18,0.34,0.22,0.48,-0.03,-0.30,-0.23,-0.14,-0.31,0.25
MgO,-0.85,0.66,0.77,0.29,0.79,-0.13,1.00,0.70,-0.28,0.91,-0.07,0.54,0.53,0.30,0.48,-0.02,0.62,0.97,-0.77,-0.82,0.77,0.18
CaO,-0.71,-0.00,0.51,0.12,0.48,0.17,0.70,1.00,-0.68,0.81,0.10,0.70,0.70,0.47,0.66,0.15,0.67,0.58,-0.79,-0.59,0.81,0.54
Na2O,0.56,0.31,-0.50,0.40,-0.29,-0.20,-0.28,-0.68,1.00,-0.59,-0.10,-0.92,-0.92,-0.87,-0.92,-0.68,-0.03,-0.11,0.16,0.50,-0.59,-0.84
K2O,-0.86,0.41,0.83,-0.06,0.66,-0.18,0.91,0.81,-0.59,1.00,-0.15,0.78,0.78,0.55,0.73,0.20,0.47,0.86,-0.61,-0.84,0.88,0.48
P2O5,-0.32,-0.14,0.19,0.39,0.48,0.86,-0.07,0.10,-0.10,-0.15,1.00,0.16,0.17,0.36,0.22,0.53,-0.17,-0.20,-0.21,-0.27,-0.41,0.34
(CIW),-0.81,0.01,0.80,-0.34,0.59,0.17,0.54,0.70,-0.92,0.78,0.16,1.00,1.00,0.94,1.00,0.73,0.02,0.39,-0.27,-0.79,0.62,0.84
(CPA),-0.81,0.01,0.80,-0.34,0.59,0.18,0.53,0.70,-0.92,0.78,0.17,1.00,1.00,0.94,1.00,0.74,0.01,0.38,-0.27,-0.79,0.61,0.84
(CIA),-0.70,-0.09,0.74,-0.40,0.54,0.34,0.30,0.47,-0.87,0.55,0.36,0.94,0.94,1.00,0.96,0.92,-0.28,0.14,-0.04,-0.71,0.32,0.86
(PIA),-0.79,-0.02,0.79,-0.36,0.58,0.22,0.48,0.66,-0.92,0.73,0.22,1.00,1.00,0.96,1.00,0.78,-0.05,0.33,-0.22,-0.78,0.56,0.86
(CIX),-0.48,-0.19,0.56,-0.42,0.41,0.48,-0.02,0.15,-0.68,0.20,0.53,0.73,0.74,0.92,0.78,1.00,-0.57,-0.17,0.23,-0.52,-0.07,0.77
(ICV),-0.30,0.25,0.02,0.62,0.24,-0.03,0.62,0.67,-0.03,0.47,-0.17,0.02,0.01,-0.28,-0.05,-0.57,1.00,0.59,-0.89,-0.14,0.66,-0.22
(WIP),-0.73,0.72,0.71,0.24,0.68,-0.30,0.97,0.58,-0.11,0.86,-0.20,0.39,0.38,0.14,0.33,-0.17,0.59,1.00,-0.69,-0.74,0.71,0.05
(W),0.63,-0.36,-0.35,-0.67,-0.61,-0.23,-0.77,-0.79,0.16,-0.61,-0.21,-0.27,-0.27,-0.04,-0.22,0.23,-0.89,-0.69,1.00,0.49,-0.60,-0.03
SiO2/Al2O3,0.97,-0.53,-0.98,-0.01,-0.91,-0.14,-0.82,-0.59,0.50,-0.84,-0.27,-0.79,-0.79,-0.71,-0.78,-0.52,-0.14,-0.74,0.49,1.00,-0.51,-0.53
K2O/Al2O3,-0.59,0.19,0.48,-0.04,0.34,-0.31,0.77,0.81,-0.59,0.88,-0.41,0.62,0.61,0.32,0.56,-0.07,0.66,0.71,-0.60,-0.51,1.00,0.33
Al2O3/TiO2,-0.53,-0.43,0.56,-0.48,0.31,0.25,0.18,0.54,-0.84,0.48,0.34,0.84,0.84,0.86,0.86,0.77,-0.22,0.05,-0.03,-0.53,0.33,1.00
