sample,category,subcategory,subsubcategory,reference,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W),SiO2/Al2O3,K2O/Al2O3,Al2O3/TiO2
UCC-1,composite,upper_continental_crust,UCC,"Shaw et al., 1967, 1976, 1986",66.80,0.54,15.05,0.94,3.33,0.07,2.30,4.24,3.56,3.19,0.15,56.23,71.99,49.81,49.75,61.78,0.99,74.46,65.05,4.44,0.21,27.87
UCC-2,composite,upper_continental_crust,UCC,"Fahrig and Eade, 1968; Eade and Fahrig, 1973",66.20,0.54,16.11,0.91,3.69,0.08,2.23,3.44,3.95,2.91,0.16,55.35,71.26,49.94,49.93,62.54,0.87,76.38,65.93,4.11,0.18,29.83
UCC-3,composite,upper_continental_crust,UCC,"Ronov and Yaroshevskiy, 1976",64.80,0.55,15.84,1.15,4.87,0.10,3.01,3.91,2.81,3.01,0.16,63.14,77.41,55.89,57.64,66.78,0.92,66.25,62.97,4.09,0.19,28.80
UCC-4,composite,upper_continental_crust,UCC,"Gao et al., 1998",67.97,0.67,14.17,1.20,4.37,0.10,2.62,3.44,2.86,2.68,0.16,60.09,75.07,53.51,54.49,65.07,0.96,62.94,61.92,4.80,0.19,21.15
UCC-5,composite,upper_continental_crust,UCC,"Taylor and McLennan, 1985, 1995",65.89,0.50,15.17,1.07,3.63,0.07,2.20,4.19,3.89,3.39,0.20,54.24,70.33,47.95,47.33,60.11,1.01,79.69,65.32,4.34,0.22,30.34
UCC-6,composite,upper_continental_crust,UCC,"Wedepohl, 1995",66.80,0.54,15.05,0.94,3.33,0.07,2.30,4.24,3.56,3.19,0.15,56.23,71.99,49.81,49.75,61.78,0.99,74.46,65.05,4.44,0.21,27.87
UCC-7,composite,upper_continental_crust,UCC,"Rudnick and Gao, 2003",66.62,0.64,15.40,1.05,4.20,0.10,2.48,3.59,3.27,2.80,0.15,58.87,74.11,52.76,53.48,64.68,0.90,68.30,63.80,4.33,0.18,24.06
UCC-8,composite,upper_continental_crust,UCC,"Togashi et al., 2000",67.53,0.62,14.67,1.02,4.04,0.11,2.53,3.90,2.72,2.42,0.12,62.11,76.63,55.91,57.38,67.40,0.91,58.87,61.87,4.60,0.16,23.66
Dunite,composite,igneous_composite,ultramafic,"Hyndman, 1985; Le Maitre, 1976",38.29,0.09,1.82,3.59,9.38,0.71,37.94,1.01,0.20,0.08,0.20,73.45,84.69,70.97,72.48,81.41,23.97,107.58,13.98,21.04,0.04,20.22
Harzburgite,composite,igneous_composite,ultramafic,"Hyndman, 1985; Le Maitre, 1976",39.93,0.26,2.35,5.48,6.47,0.15,33.18,2.90,0.31,0.14,0.13,69.73,82.17,66.73,68.31,78.03,18.05,96.23,7.75,16.99,0.06,9.04
Peridotite,composite,igneous_composite,ultramafic,"Hyndman, 1985; Le Maitre, 1976",42.26,0.63,4.23,3.61,6.58,0.41,31.24,5.05,0.49,0.34,0.10,72.40,83.99,68.11,70.55,78.27,9.87,94.66,8.24,9.99,0.08,6.71
Lherzolite,composite,igneous_composite,ultramafic,"Hyndman, 1985; Le Maitre, 1976",42.52,0.42,4.11,4.82,6.96,0.17,28.37,5.32,0.55,0.25,0.11,69.43,81.96,66.39,67.97,77.76,9.71,86.67,7.12,10.35,0.06,9.79
Anorthosite,composite,igneous_composite,mafic,"Hyndman, 1985; Le Maitre, 1976",50.28,0.64,25.86,0.96,2.07,0.05,2.12,12.48,3.15,0.65,0.09,71.39,83.31,70.03,70.82,81.46,0.78,47.67,38.80,1.94,0.03,40.41
Gabbro,composite,igneous_composite,mafic,"Hyndman, 1985; Le Maitre, 1976",50.14,1.12,15.48,3.01,7.62,0.12,7.59,9.58,2.39,0.93,0.24,66.31,79.75,63.57,64.80,75.81,1.60,56.37,17.57,3.24,0.06,13.82
Basalt,composite,igneous_composite,mafic,"Hyndman, 1985; Le Maitre, 1976",49.20,1.84,15.74,3.79,7.13,0.20,6.73,9.47,2.91,1.10,0.35,62.18,76.68,59.38,60.31,72.47,1.65,61.43,16.07,3.13,0.07,8.55
Tholeiite,composite,igneous_composite,mafic,"Hyndman, 1985; Le Maitre, 1976",49.58,1.98,14.79,3.38,8.03,0.18,7.30,10.36,2.37,0.43,0.24,65.48,79.14,64.16,64.75,77.21,1.76,51.09,9.90,3.35,0.03,7.47
Andesite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",57.94,0.87,17.02,3.27,4.04,0.14,3.33,6.79,3.48,1.62,0.21,59.78,74.83,56.31,57.14,69.47,1.15,63.04,36.64,3.40,0.10,19.56
Dacite,composite,igneous_composite,felsic,"Hyndman, 1985; Le Maitre, 1976",65.01,0.58,15.91,2.43,2.30,0.09,1.78,4.32,3.79,2.17,0.15,56.06,71.84,51.78,52.10,64.96,0.95,67.02,58.06,4.09,0.14,27.43
Tonalite,composite,igneous_composite,felsic,"Hyndman, 1985; Le Maitre, 1976",64.82,0.62,16.50,1.30,3.47,0.09,2.28,4.78,3.50,1.74,0.18,58.90,74.13,55.19,55.93,68.35,0.87,61.40,56.80,3.93,0.11,26.61
Diorite_and_Granodiorite_quartz_diorite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",54.31,0.95,17.76,2.27,5.31,0.13,4.62,7.80,3.83,1.06,0.25,58.50,73.81,56.37,56.87,70.45,1.16,65.88,28.84,3.06,0.06,18.69
Granodiorite_and_quartz_monzodiorite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",66.37,0.53,15.90,1.07,2.87,0.08,1.66,3.42,3.51,2.91,0.15,57.93,73.36,51.96,52.47,64.05,0.83,69.74,66.67,4.17,0.18,30.00
Rhyolite,composite,igneous_composite,felsic,"Hyndman, 1985; Le Maitre, 1976",72.82,0.28,13.27,1.48,1.11,0.06,0.39,1.14,3.55,4.30,0.07,63.35,69.44,51.83,52.88,55.84,0.84,72.90,52.73,5.49,0.32,47.39
Granite,composite,igneous_composite,felsic,"Hyndman, 1985; Le Maitre, 1976",71.30,0.31,14.32,1.21,1.64,0.05,0.71,1.84,3.68,4.07,0.12,60.89,70.29,51.28,51.88,57.79,0.83,74.86,59.50,4.98,0.28,46.19
Trachyte,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",61.21,0.70,16.96,2.99,2.29,0.15,0.93,2.34,5.47,4.98,0.21,56.81,65.33,48.12,47.29,54.10,1.04,100.75,68.92,3.61,0.29,24.23
Syenite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",58.58,0.84,16.64,3.04,3.13,0.13,1.87,3.53,5.24,4.95,0.29,53.99,65.87,45.99,44.31,54.35,1.18,103.30,63.04,3.52,0.30,19.81
