sample,category,subcategory,subsubcategory,CIW,CPA,CIA,PIA,CIX,ICV,WIP,R,MWPI
UCC-1,composite,upper_continental_crust,UCC-1,57,72,50,50,62,1.5,74,7.3,14
UCC-2,composite,upper_continental_crust,UCC-2,56,71,51,51,63,1.4,76,6.9,14
UCC-3,composite,upper_continental_crust,UCC-3,64,78,57,59,68,1.3,66,6.9,14
UCC-4,composite,upper_continental_crust,UCC-4,60,75,54,55,65,1.4,62,7.9,13
UCC-5,composite,upper_continental_crust,UCC-5,54,70,48,47,60,1.5,80,7.3,15
UCC-6,composite,upper_continental_crust,UCC-6,57,72,50,50,62,1.5,74,7.3,14
UCC-7,composite,upper_continental_crust,UCC-7,59,74,52,53,64,1.4,69,7.3,14
UCC-8,composite,upper_continental_crust,UCC-8,61,76,55,56,67,1.4,59,7.9,12
Dunite,composite,igneous_composite,ultramafic,74,85,71,73,82,54,110,36,59
Harzburgite,composite,igneous_composite,ultramafic,70,82,67,68,78,38,96,29,55
Peridotite,composite,igneous_composite,ultramafic,72,84,68,70,78,20,95,17,52
Lherzolite,composite,igneous_composite,ultramafic,69,82,66,68,78,19,86,18,49
Anorthosite,composite,igneous_composite,mafic,71,83,70,70,81,0.71,48,3.4,13
Gabbro,composite,igneous_composite,mafic,66,79,63,64,75,2.1,57,5.5,22
Basalt,composite,igneous_composite,mafic,61,76,59,59,72,2.2,62,5.5,22
Tholeiite,composite,igneous_composite,mafic,66,80,65,66,78,2.1,51,5.5,21
Andesite,composite,igneous_composite,intermediate,60,75,57,58,70,1.4,63,5.6,16
Dacite,composite,igneous_composite,felsic,57,72,52,53,66,1.3,67,6.9,13
Tonalite,composite,igneous_composite,felsic,59,74,55,56,68,1.3,61,6.9,13
Diorite_and_Granodiorite_quartz_diorite,composite,igneous_composite,intermediate,58,73,56,56,70,1.6,65,5.3,19
Granodiorite_and_quartz_monzodiorite,composite,igneous_composite,intermediate,58,74,52,53,65,1.3,70,6.9,13
Rhyolite,composite,igneous_composite,felsic,64,70,52,53,56,1.1,73,9.2,8.9
Granite,composite,igneous_composite,felsic,61,70,51,52,58,1.2,75,8.6,10
Trachyte,composite,igneous_composite,intermediate,57,66,49,48,55,1.4,100,5.9,15
Syenite,composite,igneous_composite,intermediate,53,65,45,43,54,1.7,100,6.1,17
Nepheline_syenite,composite,igneous_composite,intermediate,54,59,46,45,50,1.4,130,4.4,19
Phonolite,composite,igneous_composite,intermediate,53,58,46,45,49,1.4,130,4.9,17
NASC,composite,shale_composite,North American shale composite,83,90,69,78,74,0.97,54,6.5,11
PAAS,composite,shale_composite,Post Archaean Australian Shale,83,91,71,80,77,0.8,51,5.3,10
shale,composite,shale_composite,Shale,78,88,66,73,73,1,49,6.5,11
IAS+e,composite,shale_composite,Indian Archean Shale,91,95,78,89,81,0.53,40,5.5,6.4
IAS,composite,shale_composite,Indian Archean Shale,92,96,79,90,82,0.48,34,5.6,5.8
IAS-e,composite,shale_composite,Indian Archean Shale,94,96,83,93,85,0.37,26,5.5,4.6
IPAS+e,composite,shale_composite,Indian post-Archean Shale,89,94,72,86,76,0.79,52,6.1,8.9
IPAS,composite,shale_composite,Indian post-Archean Shale,91,95,76,89,79,0.67,41,5.9,7.8
IPAS-e,composite,shale_composite,Indian post-Archean Shale,94,97,79,92,81,0.56,31,6.5,6
Amazon,composite,river_sediment,suspended_sediment,86,92,79,84,84,0.59,38,4.5,8.2
Colora,composite,river_sediment,suspended_sediment,79,88,66,73,72,1.2,29,16,5.8
Columb,composite,river_sediment,suspended_sediment,64,78,58,60,69,1.2,65,6.5,13
Congo,composite,river_sediment,suspended_sediment,96,98,90,96,92,0.32,20,3.9,4.3
Danube,composite,river_sediment,suspended_sediment,61,76,54,55,65,1.8,59,9.2,14
Gange,composite,river_sediment,suspended_sediment,76,86,67,72,75,0.97,47,6.9,9.7
Huang,composite,river_sediment,suspended_sediment,83,91,71,80,77,1,51,5.8,13
Indus,composite,river_sediment,suspended_sediment,76,86,66,72,74,1.3,51,6.3,14
Macken,composite,river_sediment,suspended_sediment,94,97,72,91,74,0.62,44,7.3,5.7
Mekong,composite,river_sediment,suspended_sediment,90,95,80,89,83,0.58,41,4.5,8.6
Mississ.,composite,river_sediment,suspended_sediment,71,83,61,65,69,1.1,42,12,7.2
Niger,composite,river_sediment,suspended_sediment,99,99,94,99,95,0.22,16,2.9,3.8
Nile,composite,river_sediment,suspended_sediment,85,92,76,83,81,0.81,40,4.9,11
Orinoco,composite,river_sediment,suspended_sediment,81,87,73,79,77,0.66,39,7.1,6.5
Paran,composite,river_sediment,suspended_sediment,87,93,79,86,84,0.62,35,5.5,7.1
St._Lawr,composite,river_sediment,suspended_sediment,57,73,51,51,62,1.8,84,6.2,19
Western_Europe,composite,region,denudation,87,93,76,85,80,0.81,36,6.2,8
Alpine_Europe,composite,region,denudation,74,85,63,69,71,1.3,41,8.2,11
Central_America,composite,region,denudation,66,80,60,62,71,1.1,63,5.6,14
Northwest_South_America,composite,region,denudation,70,82,61,65,70,1.2,55,7.3,11
Ocean_Islands_(excl._N.Z.),composite,region,denudation,59,71,53,54,63,1.5,67,7.9,14
New_Zealand_(S._Island),composite,region,denudation,70,83,62,66,71,1,65,5.3,13
U.S._Atlantic_Coast,composite,region,denudation,78,88,68,74,75,1,55,5.6,12
MBG1,sample,Manasbal_Lake,lake_bottom,46,55,43,42,51,14,62,20,30
MBG2,sample,Manasbal_Lake,lake_bottom,38,55,36,34,51,10,72,14,30
MBG3,sample,Manasbal_Lake,lake_bottom,47,64,43,42,57,14,61,20,30
MBG4,sample,Manasbal_Lake,lake_bottom,49,66,46,45,60,14,58,20,29
MBG5,sample,Manasbal_Lake,lake_bottom,46,63,42,41,56,26,80,26,42
MBG6,sample,Manasbal_Lake,lake_bottom,46,63,43,42,58,9,45,19,19
MBG7,sample,Manasbal_Lake,lake_bottom,42,59,38,36,52,12,46,25,21
MBG8,sample,Manasbal_Lake,lake_bottom,41,58,38,35,51,15,49,28,24
MBG9,sample,Manasbal_Lake,lake_bottom,33,45,31,29,42,33,78,37,39
MBG10,sample,Manasbal_Lake,lake_bottom,46,63,43,42,57,22,66,26,34
MBG11,sample,Manasbal_Lake,lake_bottom,44,61,41,39,55,16,63,21,32
MBG12,sample,Manasbal_Lake,lake_bottom,50,64,47,46,58,13,66,16,33
MBG13,sample,Manasbal_Lake,lake_bottom,50,65,46,46,59,15,66,18,34
MBG14,sample,Manasbal_Lake,lake_bottom,33,49,31,29,46,21,64,29,32
MBG15,sample,Manasbal_Lake,lake_bottom,37,48,35,33,45,21,60,29,31
MBG16,sample,Manasbal_Lake,lake_bottom,33,45,31,29,42,27,62,37,32
MBG17,sample,Manasbal_Lake,lake_bottom,34,46,32,30,43,26,62,34,33
MBG18,sample,Manasbal_Lake,lake_bottom,47,64,44,43,59,13,61,17,32
MBG19,sample,Manasbal_Lake,lake_bottom,55,71,50,50,64,6.6,39,16,15
MBG20,sample,Manasbal_Lake,lake_bottom,37,51,35,33,47,20,64,28,31
MBG21,sample,Manasbal_Lake,lake_bottom,51,67,47,46,61,14,61,20,32
MBG22,sample,Manasbal_Lake,lake_bottom,36,52,34,32,47,19,68,25,33
SAR-5,sample,Surma_Group,sandstone,40,50,38,37,47,8.1,44,20,12
SAS-5,sample,Surma_Group,sandstone,45,55,42,41,51,8.1,42,20,13
SAT-2,sample,Surma_Group,sandstone,40,57,38,37,53,5.7,29,29,6.4
SAZ-3,sample,Surma_Group,sandstone,39,55,36,34,50,6.2,28,32,5.7
SBD-7,sample,Surma_Group,sandstone,43,60,40,38,54,5.4,23,36,4.5
SCT-23,sample,Surma_Group,sandstone,41,58,39,37,53,6.9,29,29,6.7
SCT-57,sample,Surma_Group,sandstone,37,50,35,33,47,8.9,36,30,10
SCT-60,sample,Surma_Group,sandstone,41,54,38,37,50,6.9,36,23,8.1
SCT-62,sample,Surma_Group,sandstone,36,53,34,33,49,7.5,31,30,6.5
SVC-7,sample,Surma_Group,sandstone,45,53,43,42,50,5.9,42,16,8.5
