sample,type,SiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5
UCC,UCC,65.89,15.17,4.49,0.07,2.2,4.19,3.89,3.39,0.5,0.2
PAAS,shale_composite,62.8,18.9,7.2,0.11,2.2,1.3,1.2,3.7,1,0.16
NASC,shale_composite,64.8,16.9,5.7,0.06,2.9,3.4,1,3.8,0.78,0.13
kaolinite,clay_composite,44.5,38.6,0.4,0.0013,0.1,0.1,0.1,0.1,0.3,0.1
smectite,clay_composite,56.5,17.2,2.8,0.0487,3.6,1.9,0.9,0.7,0.2,0
Quartz_arenite,sand_composite,95.4,1.1,0.6,0,0.1,1.6,0.1,0.2,0.2,0
Lithic_arenite,sand_composite,66.1,8.1,5.2,0.1,2.4,6.2,0.9,1.3,0.3,0.1
Graywacke,sand_composite,66.7,13.5,5.1,0.1,2.1,2.5,2.9,2,0.6,0.2
Arkose,sand_composite,77.1,8.7,2.2,0.2,0.5,2.7,1.5,2.8,0.3,0.1
Average_sandstone,sand_composite,78.66,4.78,1.38,0,1.17,5.52,0.45,1.32,0.25,0.08
Dunite,igneous_composite,38.29,1.82,12.97,0.71,37.94,1.01,0.2,0.08,0.09,0.2
Harzburgite,igneous_composite,39.93,2.35,11.95,0.15,33.18,2.9,0.31,0.14,0.26,0.13
Peridotite,igneous_composite,42.26,4.23,10.19,0.41,31.24,5.05,0.49,0.34,0.63,0.1
Lherzolite,igneous_composite,42.52,4.11,11.78,0.17,28.37,5.32,0.55,0.25,0.42,0.11
Anorthosite,igneous_composite,50.28,25.86,3.03,0.05,2.12,12.48,3.15,0.65,0.64,0.09
Gabbro,igneous_composite,50.14,15.48,10.63,0.12,7.59,9.58,2.39,0.93,1.12,0.24
Basalt,igneous_composite,49.2,15.74,10.92,0.2,6.73,9.47,2.91,1.1,1.84,0.35
Tholeiite,igneous_composite,49.58,14.79,11.41,0.18,7.3,10.36,2.37,0.43,1.98,0.24
Alkali_basalt,igneous_composite,47.1,15.3,12.6,0.17,7,9,3.4,1.2,2.7,0.41
Andesite,igneous_composite,57.94,17.02,7.31,0.14,3.33,6.79,3.48,1.62,0.87,0.21
Dacite,igneous_composite,65.01,15.91,4.73,0.09,1.78,4.32,3.79,2.17,0.58,0.15
Tonalite,igneous_composite,64.82,16.5,4.77,0.09,2.28,4.78,3.5,1.74,0.62,0.18
Diorite_and_Granodiorite_quartz_diorite,igneous_composite,54.31,17.76,7.58,0.13,4.62,7.8,3.83,1.06,0.95,0.25
Granodiorite_and_quartz_monzodiorite,igneous_composite,66.37,15.9,3.94,0.08,1.66,3.42,3.51,2.91,0.53,0.15
Rhyolite,igneous_composite,72.82,13.27,2.59,0.06,0.39,1.14,3.55,4.3,0.28,0.07
Granite,igneous_composite,71.3,14.32,2.85,0.05,0.71,1.84,3.68,4.07,0.31,0.12
Trachyte,igneous_composite,61.21,16.96,5.28,0.15,0.93,2.34,5.47,4.98,0.7,0.21
Syenite,igneous_composite,58.58,16.64,6.17,0.13,1.87,3.53,5.24,4.95,0.84,0.29
Nepheline_syenite,igneous_composite,53.56,20.22,5.86,0.2,0.76,2.37,8.43,5.68,0.73,0.24
Phonolite,igneous_composite,56.77,19.76,4.11,0.18,0.51,2.32,8.41,5.25,0.59,0.16
Ca-carbonatite,igneous_composite,9.09,2.85,8.57,0.71,6.57,34.2,1,1.43,0.64,1.27
